	Mpolymorpha_320_v3.1.protein.primary	Niben101_annotation.proteins
OG0000044	Mapoly0033s0009.1.p	Niben101Scf00318g00012.1, Niben101Scf00573g05012.1, Niben101Scf00797g02009.1, Niben101Scf01694g04001.1, Niben101Scf04018g06003.1, Niben101Scf04044g14003.1, Niben101Scf04044g16001.1, Niben101Scf04044g17011.1, Niben101Scf05002g02004.1, Niben101Scf06708g02011.1, Niben101Scf06708g02012.1, Niben101Scf07018g00005.1, Niben101Scf08535g05002.1, Niben101Scf12443g02009.1
OG0000045	Mapoly0002s0063.1.p, Mapoly0002s0065.1.p, Mapoly0002s0334.1.p, Mapoly0013s0033.1.p, Mapoly0015s0023.1.p, Mapoly0015s0024.1.p, Mapoly0015s0025.1.p, Mapoly0015s0026.1.p, Mapoly0055s0089.1.p, Mapoly0055s0090.1.p, Mapoly0129s0005.1.p, Mapoly0129s0006.1.p, Mapoly0337s0001.1.p	Niben101Scf00225g00008.1, Niben101Scf01239g02002.1
OG0000046	Mapoly0017s0010.1.p	Niben101Scf00854g09088.1, Niben101Scf00858g07007.1, Niben101Scf01269g13033.1, Niben101Scf01582g02001.1, Niben101Scf02074g00064.1, Niben101Scf02074g04004.1, Niben101Scf02929g04035.1, Niben101Scf03028g03018.1, Niben101Scf03267g00035.1, Niben101Scf03591g00002.1, Niben101Scf04451g00024.1, Niben101Scf05474g00018.1, Niben101Scf06221g04009.1, Niben101Scf18660g00004.1
OG0000047	Mapoly0002s0062.1.p, Mapoly0006s0168.1.p, Mapoly0009s0188.1.p, Mapoly0015s0093.1.p, Mapoly0016s0121.1.p, Mapoly0021s0050.1.p, Mapoly0021s0110.1.p, Mapoly0022s0054.1.p, Mapoly0060s0045.1.p, Mapoly0066s0067.1.p, Mapoly0076s0009.1.p, Mapoly0076s0073.1.p, Mapoly0076s0077.1.p, Mapoly0455s0001.1.p, Mapoly0455s0002.1.p	
OG0000048	Mapoly0004s0091.1.p, Mapoly0004s0092.1.p, Mapoly0004s0093.1.p, Mapoly0004s0094.1.p, Mapoly0009s0175.1.p, Mapoly0050s0028.1.p, Mapoly0050s0029.1.p, Mapoly2709s0001.1.p	Niben101Ctg16351g00002.1, Niben101Scf00679g05001.1, Niben101Scf04110g03003.1, Niben101Scf04220g02005.1, Niben101Scf04220g03010.1, Niben101Scf04220g04001.1, Niben101Scf07388g00017.1
OG0000049	Mapoly0008s0207.1.p, Mapoly0034s0105.1.p, Mapoly0040s0030.1.p, Mapoly0063s0018.1.p, Mapoly0063s0019.1.p, Mapoly0063s0020.1.p, Mapoly0063s0023.1.p, Mapoly0063s0024.1.p, Mapoly0063s0025.1.p, Mapoly0063s0026.1.p, Mapoly0064s0009.1.p, Mapoly0064s0059.1.p, Mapoly0064s0061.1.p, Mapoly0064s0111.1.p, Mapoly0127s0053.1.p	
OG0000050	Mapoly0013s0189.1.p, Mapoly0024s0136.1.p, Mapoly0057s0075.1.p, Mapoly0091s0039.1.p	Niben101Scf00294g02004.1, Niben101Scf00294g02013.1, Niben101Scf00730g01013.1, Niben101Scf02039g04009.1, Niben101Scf02039g04010.1, Niben101Scf04953g12009.1, Niben101Scf06155g00004.1, Niben101Scf06688g01008.1, Niben101Scf08580g00015.1, Niben101Scf09570g00018.1, Niben101Scf21817g00005.1
OG0000051	Mapoly0001s0405.1.p	Niben101Scf00117g02006.1, Niben101Scf00317g06025.1, Niben101Scf01051g03012.1, Niben101Scf01964g11009.1, Niben101Scf02767g01015.1, Niben101Scf03141g07008.1, Niben101Scf04654g03024.1, Niben101Scf04827g00002.1, Niben101Scf04827g00008.1, Niben101Scf04827g01001.1, Niben101Scf05226g01006.1, Niben101Scf06653g00006.1, Niben101Scf08685g00012.1, Niben101Scf09552g01002.1
OG0000052	Mapoly0001s0298.1.p	Niben101Scf00757g05005.1, Niben101Scf01002g02011.1, Niben101Scf01212g00003.1, Niben101Scf01308g00014.1, Niben101Scf03085g03003.1, Niben101Scf03085g03004.1, Niben101Scf05761g01038.1, Niben101Scf07060g04006.1, Niben101Scf07883g07003.1, Niben101Scf08142g03005.1, Niben101Scf12470g02003.1, Niben101Scf13540g00004.1, Niben101Scf18102g00002.1, Niben101Scf20728g00002.1
OG0000053	Mapoly0002s0054.1.p	Niben101Scf00630g00004.1, Niben101Scf01252g03001.1, Niben101Scf01485g02014.1, Niben101Scf01526g12009.1, Niben101Scf02023g01005.1, Niben101Scf02749g05042.1, Niben101Scf02749g05043.1, Niben101Scf03129g06003.1, Niben101Scf04159g00003.1, Niben101Scf04904g00002.1, Niben101Scf06375g04001.1, Niben101Scf07639g02005.1, Niben101Scf08998g00004.1, Niben101Scf15496g00007.1
OG0000054	Mapoly0034s0126.1.p	Niben101Ctg13582g00001.1, Niben101Scf00202g07004.1, Niben101Scf00332g08008.1, Niben101Scf00383g04002.1, Niben101Scf00687g08008.1, Niben101Scf00959g00017.1, Niben101Scf02738g05002.1, Niben101Scf05082g04017.1, Niben101Scf05690g01008.1, Niben101Scf08814g00011.1, Niben101Scf09878g03001.1, Niben101Scf13103g01056.1, Niben101Scf16582g00014.1, Niben101Scf17398g00005.1
OG0000055		Niben101Scf01177g04007.1, Niben101Scf01177g04029.1, Niben101Scf02045g02007.1, Niben101Scf03850g03026.1, Niben101Scf05937g02013.1, Niben101Scf05937g02015.1, Niben101Scf05937g02016.1, Niben101Scf07289g00001.1, Niben101Scf08326g00020.1, Niben101Scf08326g00054.1, Niben101Scf10559g01032.1, Niben101Scf10559g01033.1, Niben101Scf10559g01039.1, Niben101Scf10968g00003.1, Niben101Scf10968g00007.1
OG0000056	Mapoly0005s0108.1.p, Mapoly0010s0118.1.p, MapolyY_A0020.1.p	Niben101Scf00023g08011.1, Niben101Scf00311g02004.1, Niben101Scf00448g05003.1, Niben101Scf00448g07004.1, Niben101Scf00448g07005.1, Niben101Scf00520g09001.1, Niben101Scf00520g12004.1, Niben101Scf00520g12006.1, Niben101Scf03786g04006.1, Niben101Scf04011g06004.1, Niben101Scf15824g00012.1
OG0000057	Mapoly0002s0252.1.p, Mapoly0005s0183.1.p, Mapoly0006s0016.1.p, Mapoly0007s0022.1.p, Mapoly0010s0039.1.p, Mapoly0012s0138.1.p, Mapoly0014s0010.1.p, Mapoly0014s0016.1.p, Mapoly0020s0096.1.p, Mapoly0052s0124.1.p, Mapoly0055s0046.1.p, Mapoly0060s0099.1.p, Mapoly0068s0085.1.p, Mapoly0138s0003.1.p	
OG0000058	Mapoly0001s0424.1.p, Mapoly0135s0053.1.p, Mapoly0135s0054.1.p, Mapoly0135s0055.1.p, Mapoly0135s0056.1.p, Mapoly0223s0004.1.p, Mapoly0223s0005.1.p, Mapoly0223s0006.1.p, Mapoly0223s0007.1.p	Niben101Scf00978g06005.1, Niben101Scf01147g07004.1, Niben101Scf02572g02024.1, Niben101Scf03755g00001.1, Niben101Scf06969g01020.1
OG0000059	Mapoly0003s0257.1.p, Mapoly0008s0043.1.p, Mapoly0024s0072.1.p, Mapoly0034s0121.1.p, Mapoly0034s0122.1.p, Mapoly0045s0157.1.p, Mapoly0056s0116.1.p, Mapoly0064s0119.1.p, Mapoly0080s0023.1.p, Mapoly0080s0025.1.p, Mapoly0080s0026.1.p, Mapoly0094s0010.1.p	Niben101Scf03048g00001.1, Niben101Scf17122g00003.1
OG0000060	Mapoly0032s0142.1.p, Mapoly0032s0143.1.p, Mapoly0032s0144.1.p, Mapoly0070s0023.1.p, Mapoly0073s0003.1.p, Mapoly0109s0003.1.p, Mapoly0109s0004.1.p, Mapoly0124s0038.1.p, Mapoly0124s0039.1.p, Mapoly0196s0010.1.p, Mapoly0196s0011.1.p, Mapoly0196s0012.1.p, Mapoly0196s0013.1.p, Mapoly0196s0016.1.p	
OG0000061	Mapoly0008s0080.1.p, Mapoly0012s0062.1.p, Mapoly0012s0063.1.p, Mapoly0012s0065.1.p, Mapoly0012s0067.1.p, Mapoly0012s0068.1.p, Mapoly0012s0070.1.p, Mapoly0012s0071.1.p, Mapoly0204s0001.1.p, Mapoly0204s0002.1.p, Mapoly0204s0003.1.p, Mapoly0932s0001.1.p	Niben101Scf04329g03003.1, Niben101Scf14591g01007.1
OG0000062	Mapoly0032s0163.1.p, Mapoly0039s0057.1.p	Niben101Scf00109g10006.1, Niben101Scf00109g10007.1, Niben101Scf00167g01003.1, Niben101Scf00338g04003.1, Niben101Scf00786g02015.1, Niben101Scf00786g02016.1, Niben101Scf02353g00001.1, Niben101Scf03057g00001.1, Niben101Scf03057g00002.1, Niben101Scf07080g03010.1, Niben101Scf07987g00005.1, Niben101Scf39477g00003.1
OG0000063		Niben101Scf00304g06001.1, Niben101Scf01462g01002.1, Niben101Scf01623g04023.1, Niben101Scf01623g10008.1, Niben101Scf02807g11013.1, Niben101Scf02831g07014.1, Niben101Scf02979g02003.1, Niben101Scf04464g02002.1, Niben101Scf04953g06005.1, Niben101Scf08954g02005.1, Niben101Scf09100g04008.1, Niben101Scf10036g04001.1, Niben101Scf10056g01006.1, Niben101Scf17594g00002.1
OG0000064	Mapoly0136s0036.1.p, Mapoly0681s0001.1.p	Niben101Scf00279g10001.1, Niben101Scf01182g07006.1, Niben101Scf01184g17001.1, Niben101Scf02073g01008.1, Niben101Scf02508g04002.1, Niben101Scf02819g05022.1, Niben101Scf03085g07013.1, Niben101Scf04395g00003.1, Niben101Scf05484g01017.1, Niben101Scf06105g04004.1, Niben101Scf12976g00007.1
OG0000065	Mapoly0094s0056.1.p	Niben101Scf00141g02002.1, Niben101Scf01694g12004.1, Niben101Scf02479g03007.1, Niben101Scf02751g00005.1, Niben101Scf03491g01025.1, Niben101Scf04610g07022.1, Niben101Scf05474g00004.1, Niben101Scf11770g01010.1, Niben101Scf12159g01006.1, Niben101Scf13137g00006.1, Niben101Scf14592g00003.1, Niben101Scf18639g00027.1
OG0000066	Mapoly0003s0086.1.p, Mapoly0003s0088.1.p, Mapoly0006s0250.1.p, Mapoly0102s0037.1.p, Mapoly0123s0001.1.p	Niben101Scf01150g02009.1, Niben101Scf01150g02010.1, Niben101Scf02216g02012.1, Niben101Scf02902g00007.1, Niben101Scf04395g00022.1, Niben101Scf05892g00006.1, Niben101Scf08833g01006.1, Niben101Scf09523g01007.1
OG0000067	Mapoly0032s0007.1.p	Niben101Ctg08678g00001.1, Niben101Ctg09670g00003.1, Niben101Scf00436g03005.1, Niben101Scf01198g00002.1, Niben101Scf01495g00002.1, Niben101Scf01584g00016.1, Niben101Scf04321g00002.1, Niben101Scf04321g00006.1, Niben101Scf07650g00004.1, Niben101Scf07854g01011.1, Niben101Scf08570g02003.1, Niben101Scf10241g00005.1
OG0000068	Mapoly0056s0058.1.p	Niben101Scf00024g00011.1, Niben101Scf00488g06014.1, Niben101Scf01382g05005.1, Niben101Scf01812g03006.1, Niben101Scf04730g01021.1, Niben101Scf05014g00018.1, Niben101Scf06945g00013.1, Niben101Scf07589g02002.1, Niben101Scf10085g01016.1, Niben101Scf10920g01030.1, Niben101Scf11884g00003.1, Niben101Scf12589g00008.1
OG0000069	Mapoly0053s0073.1.p	Niben101Scf00253g03001.1, Niben101Scf00578g03002.1, Niben101Scf01604g00002.1, Niben101Scf01604g00010.1, Niben101Scf01685g07003.1, Niben101Scf02262g00002.1, Niben101Scf08687g00004.1, Niben101Scf08895g01020.1, Niben101Scf11178g02004.1, Niben101Scf12751g00003.1, Niben101Scf13270g03004.1, Niben101Scf31173g00004.1
OG0000070	Mapoly0081s0021.1.p	Niben101Scf00149g10001.1, Niben101Scf00149g10003.1, Niben101Scf00149g10014.1, Niben101Scf00149g10020.1, Niben101Scf01237g11009.1, Niben101Scf03202g03003.1, Niben101Scf03202g03004.1, Niben101Scf03202g04015.1, Niben101Scf03202g04017.1, Niben101Scf03788g00002.1, Niben101Scf05368g07007.1, Niben101Scf05368g07009.1
OG0000071	Mapoly0118s0022.1.p	Niben101Scf00212g01017.1, Niben101Scf02755g03004.1, Niben101Scf03256g02004.1, Niben101Scf03421g00002.1, Niben101Scf03801g05005.1, Niben101Scf04703g08012.1, Niben101Scf04871g05007.1, Niben101Scf05948g08006.1, Niben101Scf06236g00001.1, Niben101Scf07261g01013.1, Niben101Scf11361g01013.1, Niben101Scf12841g00003.1
OG0000072	Mapoly0118s0009.1.p	Niben101Ctg15314g00004.1, Niben101Scf00897g03001.1, Niben101Scf00897g03002.1, Niben101Scf01517g06009.1, Niben101Scf01517g06010.1, Niben101Scf02971g01003.1, Niben101Scf02971g01005.1, Niben101Scf04174g01004.1, Niben101Scf04174g01008.1, Niben101Scf05036g00006.1, Niben101Scf08196g01001.1, Niben101Scf11767g02018.1
OG0000073	Mapoly0067s0072.1.p	Niben101Scf01093g04002.1, Niben101Scf01406g02008.1, Niben101Scf01951g00025.1, Niben101Scf03491g01022.1, Niben101Scf03738g00015.1, Niben101Scf03849g00016.1, Niben101Scf05811g02024.1, Niben101Scf05836g06001.1, Niben101Scf06614g02008.1, Niben101Scf07672g00017.1, Niben101Scf10384g01014.1, Niben101Scf12045g02004.1
OG0000074	Mapoly0001s0495.1.p	Niben101Scf01972g01002.1, Niben101Scf03031g04009.1, Niben101Scf06205g01010.1, Niben101Scf06430g00003.1, Niben101Scf06650g02003.1, Niben101Scf06650g03010.1, Niben101Scf06819g00001.1, Niben101Scf06819g00010.1, Niben101Scf11493g00004.1, Niben101Scf13920g00001.1, Niben101Scf13920g00004.1, Niben101Scf26575g00002.1
OG0000075	Mapoly0031s0056.1.p	Niben101Ctg13736g00004.1, Niben101Scf01001g00003.1, Niben101Scf01001g00004.1, Niben101Scf01001g00005.1, Niben101Scf01001g00006.1, Niben101Scf02527g00006.1, Niben101Scf04869g03002.1, Niben101Scf07196g01009.1, Niben101Scf07848g00003.1, Niben101Scf08504g03011.1, Niben101Scf08941g00004.1, Niben101Scf16079g00002.1
OG0000076	Mapoly1449s0001.1.p	Niben101Scf00628g00006.1, Niben101Scf02847g00040.1, Niben101Scf04434g00017.1, Niben101Scf05605g00033.1, Niben101Scf05605g00041.1, Niben101Scf05605g00048.1, Niben101Scf05776g01037.1, Niben101Scf05776g01039.1, Niben101Scf07133g00014.1, Niben101Scf08565g00005.1, Niben101Scf10940g07002.1, Niben101Scf26595g00001.1
OG0000077	Mapoly0093s0001.1.p	Niben101Scf00919g07002.1, Niben101Scf00922g00009.1, Niben101Scf01035g03002.1, Niben101Scf01065g08001.1, Niben101Scf01065g08009.1, Niben101Scf01276g03007.1, Niben101Scf01276g05011.1, Niben101Scf02749g01008.1, Niben101Scf04011g04001.1, Niben101Scf07767g02011.1, Niben101Scf10999g00004.1, Niben101Scf10999g00011.1
OG0000078	Mapoly0117s0036.1.p, Mapoly0117s0037.1.p, Mapoly0117s0038.1.p, Mapoly0117s0039.1.p, Mapoly0117s0040.1.p, Mapoly0117s0041.1.p, Mapoly0117s0042.1.p, Mapoly0117s0043.1.p, Mapoly0117s0044.1.p	Niben101Scf02145g07004.1, Niben101Scf02145g07012.1, Niben101Scf16234g01021.1, Niben101Scf16234g01022.1
OG0000079		Niben101Scf01980g10004.1, Niben101Scf02537g08001.1, Niben101Scf02537g09004.1, Niben101Scf02653g06007.1, Niben101Scf02751g00006.1, Niben101Scf02751g02006.1, Niben101Scf03779g08020.1, Niben101Scf05553g06002.1, Niben101Scf07585g00007.1, Niben101Scf08249g00001.1, Niben101Scf08467g03008.1, Niben101Scf08566g00002.1, Niben101Scf08835g00007.1
OG0000080		Niben101Scf00094g00009.1, Niben101Scf01918g04014.1, Niben101Scf01938g04007.1, Niben101Scf02066g05014.1, Niben101Scf02111g00010.1, Niben101Scf02474g01024.1, Niben101Scf02601g04010.1, Niben101Scf03526g00006.1, Niben101Scf08782g03008.1, Niben101Scf08782g03009.1, Niben101Scf10735g00016.1, Niben101Scf10735g00018.1, Niben101Scf28901g00010.1
OG0000081	Mapoly0012s0054.1.p, Mapoly0012s0056.1.p, Mapoly0012s0058.1.p, Mapoly0012s0060.1.p, Mapoly0012s0142.1.p, Mapoly0045s0125.1.p, Mapoly0045s0127.1.p, Mapoly0067s0063.1.p, Mapoly0116s0035.1.p, Mapoly0148s0022.1.p, Mapoly0739s0001.1.p, Mapoly1326s0001.1.p	
OG0000082	Mapoly0017s0024.1.p, MapolyY_A0044.1.p	Niben101Scf00806g02001.1, Niben101Scf01185g00004.1, Niben101Scf02033g01006.1, Niben101Scf02033g02014.1, Niben101Scf02653g01003.1, Niben101Scf02955g05012.1, Niben101Scf02955g05013.1, Niben101Scf05351g02004.1, Niben101Scf05574g01004.1, Niben101Scf12041g00006.1
OG0000083	Mapoly0073s0025.1.p, Mapoly0106s0022.1.p, Mapoly0106s0023.1.p, Mapoly0106s0025.1.p	Niben101Scf01469g02008.1, Niben101Scf02195g06007.1, Niben101Scf02849g05002.1, Niben101Scf02849g06001.1, Niben101Scf02849g07012.1, Niben101Scf05813g09004.1, Niben101Scf05813g09010.1, Niben101Scf06277g00007.1
OG0000084	Mapoly0073s0051.1.p	Niben101Scf00129g00001.1, Niben101Scf00378g03005.1, Niben101Scf00446g05004.1, Niben101Scf02681g01005.1, Niben101Scf03000g02009.1, Niben101Scf03882g01003.1, Niben101Scf04007g05007.1, Niben101Scf04995g05002.1, Niben101Scf06261g01001.1, Niben101Scf06518g02008.1, Niben101Scf23305g01001.1
OG0000085	Mapoly0006s0178.1.p	Niben101Scf00435g05003.1, Niben101Scf02145g09007.1, Niben101Scf02516g00006.1, Niben101Scf02543g02013.1, Niben101Scf02717g00002.1, Niben101Scf03479g05043.1, Niben101Scf04477g03012.1, Niben101Scf08039g00007.1, Niben101Scf12197g03016.1, Niben101Scf17490g00023.1, Niben101Scf20262g00004.1
OG0000086	Mapoly0072s0068.1.p	Niben101Scf01475g00019.1, Niben101Scf02437g06011.1, Niben101Scf08549g00011.1, Niben101Scf08549g00014.1, Niben101Scf09262g01017.1, Niben101Scf09973g00011.1, Niben101Scf09973g00013.1, Niben101Scf10384g00014.1, Niben101Scf10384g00015.1, Niben101Scf10384g00016.1, Niben101Scf10384g00017.1
OG0000087	Mapoly0001s0541.1.p, Mapoly0013s0052.1.p, Mapoly0013s0053.1.p, Mapoly0054s0090.1.p, Mapoly0054s0092.1.p, Mapoly0064s0008.1.p, Mapoly0110s0025.1.p, Mapoly0110s0026.1.p, Mapoly0110s0027.1.p, Mapoly0124s0031.1.p	Niben101Scf01323g03009.1, Niben101Scf07652g02017.1
OG0000088	Mapoly0054s0104.1.p	Niben101Ctg12954g00001.1, Niben101Scf00438g02016.1, Niben101Scf01210g00004.1, Niben101Scf01510g00022.1, Niben101Scf02929g06122.1, Niben101Scf02996g06002.1, Niben101Scf03227g03022.1, Niben101Scf06221g03002.1, Niben101Scf09103g00003.1, Niben101Scf10152g04006.1, Niben101Scf24232g00002.1
OG0000089	Mapoly0001s0205.1.p, Mapoly0267s0002.1.p	Niben101Scf00854g00031.1, Niben101Scf01787g00041.1, Niben101Scf02074g03043.1, Niben101Scf02929g00070.1, Niben101Scf02929g05017.1, Niben101Scf04114g01043.1, Niben101Scf06345g03005.1, Niben101Scf10732g01003.1, Niben101Scf15885g00034.1, Niben101Scf21714g00001.1
OG0000090	Mapoly0007s0124.1.p	Niben101Scf00173g09004.1, Niben101Scf00568g04029.1, Niben101Scf02740g07003.1, Niben101Scf04722g00009.1, Niben101Scf05750g00009.1, Niben101Scf07103g01021.1, Niben101Scf07590g03006.1, Niben101Scf09248g03002.1, Niben101Scf15817g00001.1, Niben101Scf25930g00016.1, Niben101Scf26642g00001.1
OG0000091	Mapoly0031s0072.1.p	Niben101Scf00590g00007.1, Niben101Scf01139g03005.1, Niben101Scf01141g00004.1, Niben101Scf01255g00001.1, Niben101Scf02821g14003.1, Niben101Scf02844g03014.1, Niben101Scf03191g01013.1, Niben101Scf04455g01003.1, Niben101Scf06939g05008.1, Niben101Scf09368g02010.1, Niben101Scf22360g00006.1
OG0000092	Mapoly0002s0163.1.p	Niben101Scf00438g02006.1, Niben101Scf00854g09004.1, Niben101Scf00854g09076.1, Niben101Scf00854g09086.1, Niben101Scf01210g00006.1, Niben101Scf01691g01021.1, Niben101Scf02010g04027.1, Niben101Scf02074g01002.1, Niben101Scf06221g04010.1, Niben101Scf22015g02045.1, Niben101Scf31228g00008.1
OG0000093		Niben101Scf03987g03004.1, Niben101Scf04191g04030.1, Niben101Scf04815g01012.1, Niben101Scf04963g04004.1, Niben101Scf05109g02009.1, Niben101Scf05109g03006.1, Niben101Scf05109g03007.1, Niben101Scf06736g08001.1, Niben101Scf08624g00002.1, Niben101Scf08876g00001.1, Niben101Scf08876g00011.1, Niben101Scf32954g00001.1
OG0000094		Niben101Scf00149g12014.1, Niben101Scf00149g12019.1, Niben101Scf00963g01017.1, Niben101Scf00963g02005.1, Niben101Scf00963g02014.1, Niben101Scf00963g02021.1, Niben101Scf03202g07009.1, Niben101Scf04015g01008.1, Niben101Scf05307g01005.1, Niben101Scf05307g01006.1, Niben101Scf13842g01001.1, Niben101Scf17795g00001.1
OG0000095		Niben101Scf00817g06003.1, Niben101Scf01409g04017.1, Niben101Scf01999g03012.1, Niben101Scf03076g00013.1, Niben101Scf03213g03016.1, Niben101Scf04777g01002.1, Niben101Scf04777g01011.1, Niben101Scf05468g06002.1, Niben101Scf05592g00017.1, Niben101Scf06754g04003.1, Niben101Scf06848g05003.1, Niben101Scf10055g09004.1
OG0000096	Mapoly0004s0015.1.p, Mapoly0008s0168.1.p, Mapoly0064s0003.1.p, Mapoly0186s0019.1.p, Mapoly0186s0020.1.p, Mapoly0213s0009.1.p, Mapoly0213s0010.1.p, Mapoly0217s0007.1.p, Mapoly0217s0009.1.p	Niben101Scf02994g03003.1, Niben101Scf13776g01016.1
OG0000097	Mapoly0058s0005.1.p, Mapoly0132s0029.1.p, Mapoly0132s0031.1.p, Mapoly0150s0001.1.p, Mapoly0166s0022.1.p, Mapoly0210s0005.1.p, Mapoly0240s0002.1.p, Mapoly0330s0001.1.p	Niben101Scf02466g01020.1, Niben101Scf05368g01010.1, Niben101Scf14562g00013.1
OG0000098	Mapoly0004s0179.1.p, Mapoly0016s0113.1.p, Mapoly0085s0024.1.p, Mapoly0135s0047.1.p, Mapoly0135s0048.1.p, Mapoly0150s0006.1.p, Mapoly1840s0001.1.p, Mapoly2623s0001.1.p	Niben101Scf00069g11017.1, Niben101Scf00351g05002.1, Niben101Scf01048g00008.1
OG0000099	Mapoly0012s0051.1.p, Mapoly0018s0028.1.p, Mapoly0020s0079.1.p, Mapoly0020s0080.1.p, Mapoly0020s0088.1.p, Mapoly0020s0089.1.p, Mapoly0027s0160.1.p, Mapoly0040s0072.1.p, Mapoly0070s0022.1.p, Mapoly0310s0001.1.p, Mapoly0485s0001.1.p	
OG0000100	Mapoly0007s0179.1.p, Mapoly0007s0180.1.p, Mapoly0007s0181.1.p, Mapoly0007s0182.1.p, Mapoly0007s0183.1.p, Mapoly0007s0185.1.p, Mapoly0038s0013.1.p, Mapoly0038s0014.1.p, Mapoly0038s0017.1.p, Mapoly0038s0021.1.p, Mapoly2529s0001.1.p	
OG0000101	Mapoly0066s0089.1.p	Niben101Scf01543g00001.1, Niben101Scf02050g01003.1, Niben101Scf02050g01025.1, Niben101Scf02050g01029.1, Niben101Scf02877g06001.1, Niben101Scf02877g06002.1, Niben101Scf05615g00002.1, Niben101Scf05615g01014.1, Niben101Scf05787g00005.1, Niben101Scf23517g00003.1
OG0000102	Mapoly0028s0091.1.p, Mapoly0080s0061.1.p, Mapoly0174s0008.1.p, Mapoly0192s0010.1.p, Mapoly0192s0011.1.p, Mapoly0192s0012.1.p, Mapoly0192s0013.1.p, Mapoly0192s0015.1.p, Mapoly0213s0001.1.p, Mapoly0213s0002.1.p	Niben101Scf02358g03018.1
OG0000103	Mapoly0021s0100.1.p, Mapoly0021s0101.1.p, Mapoly0021s0102.1.p, Mapoly0031s0074.1.p, Mapoly0031s0076.1.p	Niben101Scf00765g00007.1, Niben101Scf00765g00008.1, Niben101Scf05483g00007.1, Niben101Scf06936g02003.1, Niben101Scf08470g06001.1, Niben101Scf18898g00012.1
OG0000104	Mapoly0049s0083.1.p	Niben101Scf00158g06008.1, Niben101Scf00197g03004.1, Niben101Scf01025g13019.1, Niben101Scf01190g00013.1, Niben101Scf04664g04022.1, Niben101Scf06228g01001.1, Niben101Scf07034g01002.1, Niben101Scf08273g05002.1, Niben101Scf20652g01023.1, Niben101Scf21969g00004.1
OG0000105	Mapoly0003s0300.1.p, Mapoly0055s0044.1.p	Niben101Scf00100g00017.1, Niben101Scf00100g00020.1, Niben101Scf00247g02010.1, Niben101Scf01626g04008.1, Niben101Scf05301g02004.1, Niben101Scf05614g00001.1, Niben101Scf11723g02017.1, Niben101Scf15156g01016.1, Niben101Scf27893g00001.1
OG0000106	Mapoly0055s0102.1.p, Mapoly0055s0103.1.p	Niben101Scf01237g04004.1, Niben101Scf04114g00031.1, Niben101Scf04114g00038.1, Niben101Scf05439g02051.1, Niben101Scf05713g01012.1, Niben101Scf05713g01013.1, Niben101Scf09620g05001.1, Niben101Scf11347g00004.1, Niben101Scf30865g00001.1
OG0000107	Mapoly0176s0005.1.p	Niben101Ctg10966g00002.1, Niben101Scf02875g00005.1, Niben101Scf04713g04008.1, Niben101Scf06248g00003.1, Niben101Scf06248g00007.1, Niben101Scf06248g00012.1, Niben101Scf06512g00007.1, Niben101Scf16313g00003.1, Niben101Scf20969g00001.1, Niben101Scf22999g00006.1
OG0000108	Mapoly0014s0075.1.p	Niben101Scf00378g02001.1, Niben101Scf01432g07006.1, Niben101Scf01784g01014.1, Niben101Scf02616g00002.1, Niben101Scf02631g04009.1, Niben101Scf03199g00008.1, Niben101Scf04007g04009.1, Niben101Scf04995g00012.1, Niben101Scf05294g00006.1, Niben101Scf21895g00007.1
OG0000109	Mapoly0009s0238.1.p	Niben101Scf01653g01002.1, Niben101Scf01653g01003.1, Niben101Scf01653g01004.1, Niben101Scf01922g06010.1, Niben101Scf02583g02005.1, Niben101Scf02583g02006.1, Niben101Scf02746g05005.1, Niben101Scf02842g01013.1, Niben101Scf04759g00001.1, Niben101Scf22103g00001.1
OG0000110	Mapoly0011s0101.1.p	Niben101Scf01045g00016.1, Niben101Scf01143g09017.1, Niben101Scf01520g07011.1, Niben101Scf01520g07016.1, Niben101Scf01521g01018.1, Niben101Scf02043g06007.1, Niben101Scf07188g02011.1, Niben101Scf11401g01012.1, Niben101Scf11401g01013.1, Niben101Scf25768g00011.1
OG0000111	Mapoly0096s0068.1.p	Niben101Ctg11076g00001.1, Niben101Scf01091g00016.1, Niben101Scf01297g04003.1, Niben101Scf02237g09010.1, Niben101Scf02430g03001.1, Niben101Scf02730g00004.1, Niben101Scf04099g05003.1, Niben101Scf04801g00003.1, Niben101Scf06164g01003.1, Niben101Scf09141g02006.1
OG0000112	Mapoly0061s0066.1.p	Niben101Scf00611g01010.1, Niben101Scf00747g03001.1, Niben101Scf00870g13004.1, Niben101Scf01145g02002.1, Niben101Scf02346g03015.1, Niben101Scf02425g02013.1, Niben101Scf02759g01002.1, Niben101Scf03641g07005.1, Niben101Scf06677g01008.1, Niben101Scf15364g00001.1
OG0000113		Niben101Scf00324g02024.1, Niben101Scf00410g01011.1, Niben101Scf01328g02001.1, Niben101Scf01517g08002.1, Niben101Scf03056g01016.1, Niben101Scf04144g01007.1, Niben101Scf04253g01001.1, Niben101Scf07678g06002.1, Niben101Scf10968g01001.1, Niben101Scf10968g01003.1, Niben101Scf11177g00001.1
OG0000114	Mapoly0005s0112.1.p, Mapoly0005s0113.1.p, Mapoly0015s0136.1.p, Mapoly0104s0027.1.p, Mapoly0163s0014.1.p	Niben101Ctg12075g00002.1, Niben101Scf00595g01006.1, Niben101Scf03565g04003.1, Niben101Scf06186g03011.1, Niben101Scf07413g01001.1
